produto,codigo,categoria,tipo_produto,preco_desconto,perc_desconto,avaliacao,qtd_avaliacoes,valor_total_vendas
"Ambrane Unbreakable 3 In 1 Fast Charging Braided Multipurpose Cable For Speaker With 2.1 A Speed - 1.25 Meter, Black",B094JNXNPV,Computers e Accessories,Cabo,17.939999999999998,25.0,4.0,2766.0,49622.03999999999
"Duracell USB C To Lightning Apple Certified (Mfi) Braided Sync E Charge Cable For iPhone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",B09W5XR9RT,Computers e Accessories,Cabo,58.199999999999996,51.0,4.4,184.0,10708.8
"Boat A400 USB Type-C To USB-A 2.0 Male Data Cable, 2 Meter (Black)",B077Z65HSD,Computers e Accessories,Cabo,17.939999999999998,70.0,4.3,20850.0,374048.99999999994
"Amazonbasics USB 2.0 - A-Male To A-Female Extension Cable For Personal Computer, Printer (Black, 9.8 Feet/3 Meters)",B00NH11PEY,Computers e Accessories,Cabo,11.94,73.0,4.5,74976.0,895213.44
"Ambrane 60W / 3A Type C Fast Charging Unbreakable 1.5M L Shaped Braided Cable, Pd Technology, 480Mbps Data Transfer For Smartphones, Tablet, Laptops E Other Type C Devices (Ablc10, Black)",B09CMM3VGK,Computers e Accessories,Cabo,10.74,64.0,4.0,1934.0,20771.16
"Zoul USB C 60W Fast Charging 3A 6Ft/2M Long Type C Nylon Braided Data Cable Quick Charger Cable Qc 3.0 For Samsung Galaxy M31S M30 S10 S9 S20 Plus, Note 10 9 8, A20E A40 A50 A70 (2M, Grey)",B08QSC1XY8,Computers e Accessories,Cabo,23.34,65.0,4.3,974.0,22733.16
"Samsung Original Type C To C Cable - 3.28 Feet (1 Meter), White",B008FWZGSG,Computers e Accessories,Cabo,35.94,0.0,4.3,355.0,12758.699999999999
"Ptron Solero T351 3.5Amps Fast Charging Type-C To Type-C Pd Data E Charging USB Cable, Made In India, 480Mbps Data Sync, Durable 1 Meter Long Cable For Type-C Smartphones, Tablets E Laptops (Black)",B0B4HJNPV4,Computers e Accessories,Cabo,11.94,80.0,3.9,1075.0,12835.5
"Ptron Solero Mb301 3A Micro USB Data E Charging Cable, Made In India, 480Mbps Data Sync, Strong E Durable 1.5-Meter Nylon Braided USB Cable For Micro USB Devices - (Black)",B08Y1SJVV5,Computers e Accessories,Cabo,5.9399999999999995,85.0,3.9,24871.0,147733.74
"Amazonbasics Nylon Braided USB-C To Lightning Cable, Fast Charging Mfi Certified Smartphone, iPhone Charger (6-Foot, Dark Grey)",B07XLCFSSN,Computers e Accessories,Cabo,53.94,53.0,4.4,13552.0,730994.88
"Sounce 65W Oneplus Dash Warp Charge Cable, 6.5A Type-C To USB C Pd Data Sync Fast Charging Cable Compatible With One Plus 8T/ 9/ 9R/ 9 Pro/ 9Rt/ 10R/ Nord E For All Type C Devices – Red, 1 Meter",B09RZS1NQT,Computers e Accessories,Cabo,11.94,80.0,4.0,576.0,6877.44
Oneplus 126 Cm (50 Inches) Y Series 4K Ultra Hd Smart Android Led Tv 50Y1S Pro (Black),B0B3MMYHYW,Electronics,Tv,1979.9399999999998,28.0,4.2,7298.0,14449602.12
"Duracell Type C To Type C 5A (100W) Braided Sync E Fast Charging Cable, 3.9 Feet (1.2M). USB C To C Cable, Supports Pd E Qc 3.0 Charging, 5 Gbps Data Transmission – Black",B09C6HWG18,Computers e Accessories,Cabo,58.199999999999996,51.0,4.2,462.0,26888.399999999998
"Amazonbasics USB 2.0 Cable - A-Male To B-Male - For Personal Computer, Printer- 6 Feet (1.8 Meters), Black",B00NH11KIK,Computers e Accessories,Cabo,12.54,70.0,4.5,107687.0,1350394.98
Mi 108 Cm (43 Inches) Full Hd Android Led Tv 4C | L43M6-Inc (Black),B09JPC82QC,Electronics,Tv,1199.94,43.0,4.3,27151.0,32579570.94
"Wayona Nylon Braided 3A Lightning To USB A Syncing And Fast Charging Data Cable For iPhone, Ipad (3 Ft Pack Of 1, Black)",B07JW1Y6XV,Computers e Accessories,Cabo,23.939999999999998,64.0,4.2,24269.0,580999.86
"Tp-Link Nano Ac600 USB Wi-Fi Adapter(Archer T2U Nano)- 2.4G/5G Dual Band Wireless Network Adapter For Pc Desktop Laptop, Mini Travel Size, Supports Windows 11,10, 8.1, 8, 7, Xp/Mac Os 10.9-10.15",B07KRCW6LZ,Computers e Accessories,Computador,59.94,38.0,4.3,12093.0,724854.4199999999
"Flix (Beetel USB To Micro USB Pvc Data Sync E 2A Fast Charging Cable, Made In India, 480Mbps Data Sync, Solid Cable, 1 Meter Long USB Cable For Micro USB Devices (White)(Xcd-M11)",B09NJN8L25,Computers e Accessories,Cabo,3.54,70.0,4.0,9378.0,33198.12
"Wecool Nylon Braided Multifunction Fast Charging Cable For Android Smartphone, Ios And Type C USB Devices, 3 In 1 Charging Cable, 3A, (3 Feet) (Black)",B07XJYYH7L,Computers e Accessories,Cabo,19.98,67.0,3.3,9792.0,195644.16
D-Link Dwa-131 300 Mbps Wireless Nano USB Adapter (Black),B002PD61Y4,Computers e Accessories,Rede,30.419999999999998,58.0,4.1,8131.0,247345.02
